label,poly,det,xor,xtime,involutory,mds,inv_det,inv_xor,inv_xtime,inv_involutory,inv_mds
KHAZAD,x^8 + x^4 + x^3 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^4 + x^3 + x^2 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^5 + x^3 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^5 + x^3 + x^2 + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^5 + x^4 + x^3 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^6 + x^3 + x^2 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^6 + x^5 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^6 + x^5 + x^2 + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^6 + x^5 + x^3 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^6 + x^5 + x^4 + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^6 + x^5 + x^4 + x^3 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^2 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^3 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^3 + x^2 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^4 + x^3 + x^2 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^5 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^5 + x^3 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^5 + x^4 + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1,0x1,112,120,True,True,0x1,112,120,True,True
KHAZAD,x^8 + x^7 + x^6 + x + 1,0x1,112,120,True,False,0x1,112,120,True,False
KHAZAD,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,0x1,112,120,True,True,0x1,112,120,True,True
